# 087bb88aa1dda9cdfed7d1558d5a4c2ab8056c1288aab0fb24fe21f4f82d4670#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6832,"mnu":0.06,"ns":0.9742,"ombh2":0.022506,"omch2":0.11755,"omnuh2":0.000644883920894239,"sigma_8":0.8117},"data_sha256":"468d0f6b5dc2a91da3fafb72822b8bedb754c8f822c6c072aae47f7c1a343623","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.4"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
4.231375566699885587e-04 7.932682957782918493e+03
4.268455228609272130e-04 7.999276728082953014e+03
4.305859820628417855e-04 8.066412715755007412e+03
4.343592190128918538e-04 8.134094948700821078e+03
4.381655209433974320e-04 8.202327479111969296e+03
4.420051776037025042e-04 8.271114384425356548e+03
4.458784812822331719e-04 8.340459786750339845e+03
4.497857268287472170e-04 8.410367853608811856e+03
4.537272116767786050e-04 8.480842779362586953e+03
4.577032358662799631e-04 8.551888784466311336e+03
4.617141020664623286e-04 8.623510115563229192e+03
4.657601155988354215e-04 8.695711036215438071e+03
4.698415844604499026e-04 8.768495764589399187e+03
4.739588193473431377e-04 8.841868509644540609e+03
4.781121336781903627e-04 8.915833502864850743e+03
4.823018436181637997e-04 8.990394998439964183e+03
4.865282681029993428e-04 9.065557273286547570e+03
4.907917288632760193e-04 9.141324646010176366e+03
4.950925504489069777e-04 9.217701518479849256e+03
4.994310602538447157e-04 9.294692329754268940e+03
5.038075885410045560e-04 9.372301544740321333e+03
5.082224684674048563e-04 9.450533654259164905e+03
5.126760361095280150e-04 9.529393174861532316e+03
5.171686304889043908e-04 9.608884637484714403e+03
5.217005935979189156e-04 9.689012582317018314e+03
5.262722704258456083e-04 9.769781573519920130e+03
5.308840089851092278e-04 9.851196200468008101e+03
5.355361603377767777e-04 9.933261077787616159e+03
5.402290786222825473e-04 1.001598084052008380e+04
5.449631210803847388e-04 1.009936009045488754e+04
5.497386480843620285e-04 1.018340341401290971e+04
5.545560231644448574e-04 1.026811541889453292e+04
5.594156130364896914e-04 1.035350073469754716e+04
5.643177876298933245e-04 1.043956401287785229e+04
5.692629201157551385e-04 1.052630993128657428e+04
5.742513869352827661e-04 1.061374321116362626e+04
5.792835678284490725e-04 1.070186860262578375e+04
5.843598458628978523e-04 1.079069087855867474e+04
5.894806074631063746e-04 1.088021483458480907e+04
5.946462424398000048e-04 1.097044528906680534e+04
5.998571440196263840e-04 1.106138708810730895e+04
6.051137088750892755e-04 1.115304511083488978e+04
6.104163371547441375e-04 1.124542426070494912e+04
6.157654325136599754e-04 1.133852946427858114e+04
6.211614021441460654e-04 1.143236567118715539e+04
6.266046568067497281e-04 1.152693785078186193e+04
6.320956108615236350e-04 1.162225092788629081e+04
6.376346822995694781e-04 1.171830978485243031e+04
6.432222927748567015e-04 1.181511932005696690e+04
6.488588676363203070e-04 1.191268445009437528e+04
6.545448359602401176e-04 1.201101010963669069e+04
6.602806305829021522e-04 1.211010125563886686e+04
6.660666881335500222e-04 1.220996289359636467e+04
6.719034490676210414e-04 1.231060006094517848e+04
6.777913577002764789e-04 1.241201781425799891e+04
6.837308622402223784e-04 1.251422122906649747e+04
6.897224148238313528e-04 1.261721539971599304e+04
6.957664715495593885e-04 1.272100542530536404e+04
7.018634925126654694e-04 1.282559638214951519e+04
7.080139418402371610e-04 1.293099335570446055e+04
7.142182877265189052e-04 1.303720144759218965e+04
7.204770024685561419e-04 1.314422577540835664e+04
7.267905625021452848e-04 1.325207147193784112e+04
7.331594484381039707e-04 1.336074366199755605e+04
7.395841450988542088e-04 1.347024745389518648e+04
7.460651415553319838e-04 1.358058796715168864e+04
7.526029311642145302e-04 1.369177033430531446e+04
7.591980116054782880e-04 1.380379970065615453e+04
7.658508849202820112e-04 1.391668122224652325e+04
7.725620575491856526e-04 1.403042004805907163e+04
7.793320403707025340e-04 1.414502132646839891e+04
7.861613487401875088e-04 1.426049021627513685e+04
7.930505025290699025e-04 1.437683188657048413e+04
8.000000261644254823e-04 1.449405151642909186e+04
8.070104486689002503e-04 1.461215429007731473e+04
8.140823037009797727e-04 1.473114538132198686e+04
8.212161295956145598e-04 1.485102996687922314e+04
8.284124694051977046e-04 1.497181323118220644e+04
8.356718709409073544e-04 1.509350036602613727e+04
8.429948868144049095e-04 1.521609656992840610e+04
8.503820744799041277e-04 1.533960701843152492e+04
